input,output
this guy really likes scoring tries against the english...,"""彼は本当にイギリス人から"" ""点を取るのが好きだ"""
i would love for my husband to know his father.,夫が父親を知っていて欲しいの
i knew you were too smart to fall for that jacob clown.,ジェイコブ道化に 騙されてるかと思ったぞ
you could see willful blindness,意図的な無視は
"yeah, you can.",うん、することができます。
and our main concern then was the radiation from jupiter.,"""慎重に討議されてきました"" 主な危険は 木星の放射線でした"
where was this image taken?,どこで撮影されたんだ?
i'm not cold at all!,やってやれ 天津飯! 負けんじゃねえぜ!
to get to do that. i mean some.,現実になる 他にも
anything else?,まだ他に何か?
hurry. hurry!,急げ!
no previous conviction or criminal record,手配 前科 前歴 該当なし
"they didn't say, where is my authorship?",「論文著者としての記載はどうなる?」
what is it?,抹消されるのです。
that's the limitation of dojo swordsmanship.,ソイツが 道場剣術の限界よ。
i don't know how much longer we're gonna get to keep you here.,君をいつまで ここに置いておけるか わからなんだ
"hey, that guy...",ねえ沙英 ...沙英?
this changed the history of rock and roll.,『ローリングストーン』誌が 評したイベントです
ranger!,レンジャー!
"meaning, someone will be taken by our ancestors again.",また誰かがご先祖様に取られるぞ
and i think the asshole's married.,彼には奥さんもいるはず
fucking hell! where are they?,あいつら何してんだ
how long have you known about your tumor?,どれくらい前から腫瘍が?
"just when i thought we could finally meet again, she became someone else's wife.",《やっと 再会したと思ったら とっとと 人妻になって》
if i didn't know any better,私はよく分からないので
what's a cop know of subways? spider?,警察に地下鉄の何が分かる
"we have to go home, okay? it's the right",帰るべきだ
that's what i thought when i first saw her too.,俺もさ 最初見た時 そう思ったのよ
"the volume of the ocean, at will",思うがままに移動し
and how it can be realized on a twodimensional surface.,二次元平面上でどう表現できるかということにかかっているのです
this is my drawing of a ptree,これは私の描いた「“p” の木」です
"and ever since those results came out, policymakers",結果が公表されると世界中の 政策立案者や教育者 研究者が
"and you can see that, compared with gorilla",ゴリラと比べたら人間は なかば
all right!,ちょっと ギリコ! そうだよ!
you shut the fuck up.,あなたは性交をシャットダウンします。
"no, no! he's my husband! they wouldn't let me ride with him.",私の夫なのよ どうしてダメなの!
put that under the sink.,シンクの下に置いて
did i miss something?,何か見逃してます?
okay! everything ready? get to it.,よ~し 準備いいな。
you're right.,亜門君 君はもういい
15 years.,15年...
just how far i'll go splashing dirt in the water.,私がどこまで泥水をはね飛ばすかを
i want to see your face.,<紗絵子さん。 顔が 見たいよ>
bet you say that about all the girls.,女の子にはみんなにそう言うのかな
that's what i said.,私も言いました
of a bicycle built for two,♫君が二人乗りの自転車に乗る姿は♫
"one man alone can't save this city, robert, and we both know that.",1人の男で この街は救えない ロバート 2人供それを知ってる
i was beside him,確かに 連城は板野の命令で 布田をいじめてたし...。
they know you got cash. they hear that...,これで所持金を探る
which stops us taking excessive risks,過剰にリスキーなことをしないようにするこの部分が
don't move.,霧江! 動くんじゃないわよ。
wouldn't talk about it. okay.,なにも そのことは 何も言わない
beyond prosecution?,起訴もしないで
did you? you think he cares about you?,こいつに大事にされてると?
it will only be you and me at home.,家の中で私とあなただけ。
ouch... i thought i was going to die.,イッテー 死ぬかと思った
on this dream once.,一度は諦めてたんですけど。
yeah. she's awful.,そうね 彼女ヒドイいわ
that the ants you see walking around don't do much eating.,外で見かけるアリはあまり食べることをしません
it disgusts me!,胸くそ悪いっすよ
"and oh, by the way, what is nato?",ところでnatoって何ですか?」
yeah.,うん 何?
have no compunctions about using education,なんの良心の呵責もなく 教育を用いて
"as i'm walking by, i collect them all.",歩いて行って全部集める
it's okay. i've done it before.,大丈夫 経験済みだ
others need you to go to the diner and mop the floors tonight.,今夜は食堂に行って 床を掃除してもらいたいの
"so now, with your nearby remote controls...",それでは お手元のリモコンボタンを...。
